Acc_valeurX;Acc_valeurY;Acc_tpsDepuisDebut;MT_note;MT_doigt;MT_tpsPresse;MT_tpsDepuisDebut;Perf_idMorceau;Perf_nbFaussesNotes;Perf_nbNotesTotal
134;8326;-2.990;7;0;1.313;-0.041;1;7;36
259;7521;-1.990;7;0;1.313;-0.041;1;7;36
-705;7942;-0.991;7;0;1.313;-0.041;1;7;36
507;7473;0.008;7;0;1.313;-0.041;1;7;36
80;8205;1.008;7;0;1.313;-0.041;1;7;36
1236;6609;2.007;7;0;1.313;-0.041;1;7;36
1880;7640;3.007;7;0;1.313;-0.041;1;7;36
438;8033;4.006;7;0;1.313;-0.041;1;7;36
138;7960;5.005;7;0;1.313;-0.041;1;7;36
796;7683;6.005;7;0;1.313;-0.041;1;7;36
1210;8536;7.004;7;0;1.313;-0.041;1;7;36
549;8071;8.004;7;0;1.313;-0.041;1;7;36
-93;7919;9.003;7;0;1.313;-0.041;1;7;36
907;8441;10.002;7;0;1.313;-0.041;1;7;36
1386;7316;11.002;7;0;1.313;-0.041;1;7;36
-94;6110;12.001;7;0;1.313;-0.041;1;7;36
1341;7978;13.001;7;0;1.313;-0.041;1;7;36
191;6935;14.000;7;0;1.313;-0.041;1;7;36
283;8033;14.999;7;0;1.313;-0.041;1;7;36
2134;7501;16.000;7;0;1.313;-0.041;1;7;36
-1005;6130;16.999;7;0;1.313;-0.041;1;7;36
557;7848;17.998;7;0;1.313;-0.041;1;7;36
241;8083;18.998;7;0;1.313;-0.041;1;7;36
977;8204;19.997;7;0;1.313;-0.041;1;7;36
3542;7684;20.996;7;0;1.313;-0.041;1;7;36
-134;4841;21.996;7;0;1.313;-0.041;1;7;36
513;9119;22.995;7;0;1.313;-0.041;1;7;36
3500;4244;23.995;7;0;1.313;-0.041;1;7;36
1945;7861;24.994;7;0;1.313;-0.041;1;7;36
1535;6250;25.993;7;0;1.313;-0.041;1;7;36
-3217;7915;26.993;7;0;1.313;-0.041;1;7;36
1793;7894;27.992;7;0;1.313;-0.041;1;7;36
1238;7842;28.992;7;0;1.313;-0.041;1;7;36
790;7884;29.991;7;0;1.313;-0.041;1;7;36
1297;8193;30.990;7;0;1.313;-0.041;1;7;36
1863;7439;31.990;7;0;1.313;-0.041;1;7;36
67;5851;32.989;7;0;1.313;-0.041;1;7;36
1965;7839;33.988;7;0;1.313;-0.041;1;7;36
939;8185;34.988;7;0;1.313;-0.041;1;7;36
2057;7710;35.987;7;0;1.313;-0.041;1;7;36
1041;7540;36.986;7;0;1.313;-0.041;1;7;36
-2641;5696;37.986;7;0;1.313;-0.041;1;7;36
1420;7772;38.985;7;0;1.313;-0.041;1;7;36
1282;7961;39.984;7;0;1.313;-0.041;1;7;36
-4350;6591;40.984;7;0;1.313;-0.041;1;7;36
134;8326;-2.990;7;0;0.735;1.308;1;7;36
259;7521;-1.990;7;0;0.735;1.308;1;7;36
-705;7942;-0.991;7;0;0.735;1.308;1;7;36
507;7473;0.008;7;0;0.735;1.308;1;7;36
80;8205;1.008;7;0;0.735;1.308;1;7;36
1236;6609;2.007;7;0;0.735;1.308;1;7;36
1880;7640;3.007;7;0;0.735;1.308;1;7;36
438;8033;4.006;7;0;0.735;1.308;1;7;36
138;7960;5.005;7;0;0.735;1.308;1;7;36
796;7683;6.005;7;0;0.735;1.308;1;7;36
1210;8536;7.004;7;0;0.735;1.308;1;7;36
549;8071;8.004;7;0;0.735;1.308;1;7;36
-93;7919;9.003;7;0;0.735;1.308;1;7;36
907;8441;10.002;7;0;0.735;1.308;1;7;36
1386;7316;11.002;7;0;0.735;1.308;1;7;36
-94;6110;12.001;7;0;0.735;1.308;1;7;36
1341;7978;13.001;7;0;0.735;1.308;1;7;36
191;6935;14.000;7;0;0.735;1.308;1;7;36
283;8033;14.999;7;0;0.735;1.308;1;7;36
2134;7501;16.000;7;0;0.735;1.308;1;7;36
-1005;6130;16.999;7;0;0.735;1.308;1;7;36
557;7848;17.998;7;0;0.735;1.308;1;7;36
241;8083;18.998;7;0;0.735;1.308;1;7;36
977;8204;19.997;7;0;0.735;1.308;1;7;36
3542;7684;20.996;7;0;0.735;1.308;1;7;36
-134;4841;21.996;7;0;0.735;1.308;1;7;36
513;9119;22.995;7;0;0.735;1.308;1;7;36
3500;4244;23.995;7;0;0.735;1.308;1;7;36
1945;7861;24.994;7;0;0.735;1.308;1;7;36
1535;6250;25.993;7;0;0.735;1.308;1;7;36
-3217;7915;26.993;7;0;0.735;1.308;1;7;36
