Acc_valeurX;Acc_valeurY;Acc_tpsDepuisDebut;MT_note;MT_doigt;MT_tpsPresse;MT_tpsDepuisDebut;Perf_idMorceau;Perf_nbFaussesNotes;Perf_nbNotesTotal
2668;5184;-2.956;8;4;0.479;3.441;1;21;34
2661;5172;-1.957;8;4;0.479;3.441;1;21;34
2674;5201;-0.957;8;4;0.479;3.441;1;21;34
2646;5207;0.043;8;4;0.479;3.441;1;21;34
4122;3541;1.042;8;4;0.479;3.441;1;21;34
3618;4228;2.042;8;4;0.479;3.441;1;21;34
4509;4114;3.041;8;4;0.479;3.441;1;21;34
5397;2214;4.040;8;4;0.479;3.441;1;21;34
1081;3603;5.040;8;4;0.479;3.441;1;21;34
3231;4402;6.039;8;4;0.479;3.441;1;21;34
4528;4565;7.038;8;4;0.479;3.441;1;21;34
4733;5950;8.038;8;4;0.479;3.441;1;21;34
-12577;2664;9.038;8;4;0.479;3.441;1;21;34
5648;5301;10.037;8;4;0.479;3.441;1;21;34
5117;4683;11.036;8;4;0.479;3.441;1;21;34
6030;3596;12.036;8;4;0.479;3.441;1;21;34
4238;5619;13.035;8;4;0.479;3.441;1;21;34
14294;12930;14.035;8;4;0.479;3.441;1;21;34
3839;6754;15.034;8;4;0.479;3.441;1;21;34
3070;5005;16.033;8;4;0.479;3.441;1;21;34
3669;5288;17.033;8;4;0.479;3.441;1;21;34
4460;5566;18.032;8;4;0.479;3.441;1;21;34
5565;4976;19.032;8;4;0.479;3.441;1;21;34
4062;4754;20.031;8;4;0.479;3.441;1;21;34
3509;5648;21.030;8;4;0.479;3.441;1;21;34
2993;4545;22.030;8;4;0.479;3.441;1;21;34
-1521;-670;23.029;8;4;0.479;3.441;1;21;34
3318;4223;24.029;8;4;0.479;3.441;1;21;34
2280;2011;25.028;8;4;0.479;3.441;1;21;34
4426;6062;26.028;8;4;0.479;3.441;1;21;34
697;3927;27.027;8;4;0.479;3.441;1;21;34
2098;5373;28.027;8;4;0.479;3.441;1;21;34
-1136;5125;29.026;8;4;0.479;3.441;1;21;34
9;3176;30.026;8;4;0.479;3.441;1;21;34
1653;5237;31.025;8;4;0.479;3.441;1;21;34
2696;4268;32.024;8;4;0.479;3.441;1;21;34
7013;8119;33.024;8;4;0.479;3.441;1;21;34
3362;5030;34.023;8;4;0.479;3.441;1;21;34
2059;5522;35.023;8;4;0.479;3.441;1;21;34
787;3894;36.022;8;4;0.479;3.441;1;21;34
3100;5737;37.022;8;4;0.479;3.441;1;21;34
3015;6068;38.021;8;4;0.479;3.441;1;21;34
2989;6064;39.021;8;4;0.479;3.441;1;21;34
3013;6051;40.020;8;4;0.479;3.441;1;21;34
2993;6068;41.019;8;4;0.479;3.441;1;21;34
2668;5184;-2.956;8;4;0.654;4.040;1;21;34
2661;5172;-1.957;8;4;0.654;4.040;1;21;34
2674;5201;-0.957;8;4;0.654;4.040;1;21;34
2646;5207;0.043;8;4;0.654;4.040;1;21;34
4122;3541;1.042;8;4;0.654;4.040;1;21;34
